0.501,0.001,50.25,49.76
0.511,0.001,51.12,48.88
0.511,0.011,50.58,49.42
0.511,0.021,50.16,49.84
0.521,0.001,52.08,47.92
0.521,0.011,51.51,48.49
0.521,0.021,51.09,48.91
0.521,0.031,50.26,49.74
0.531,0.001,52.96,47.04
0.531,0.011,52.45,47.55
0.531,0.021,52.19,47.81
0.531,0.031,51.63,48.37
0.531,0.041,50.86,49.15
0.531,0.051,50.49,49.51
0.541,0.001,54.11,45.89
0.541,0.011,53.52,46.48
0.541,0.021,52.91,47.09
0.541,0.031,52.27,47.73
0.541,0.041,51.94,48.06
0.541,0.051,51.37,48.63
0.541,0.061,51.00,49.00
0.541,0.071,50.44,49.56
0.551,0.001,55.04,44.96
0.551,0.011,54.64,45.36
0.551,0.021,54.20,45.81
0.551,0.031,53.26,46.74
0.551,0.041,52.74,47.26
0.551,0.051,52.47,47.53
0.551,0.061,51.44,48.56
0.551,0.071,51.29,48.71
0.551,0.081,50.70,49.30
0.561,0.001,55.93,44.08
0.561,0.011,55.44,44.56
0.561,0.021,54.64,45.36
0.561,0.031,54.52,45.48
0.561,0.041,53.74,46.26
0.561,0.051,53.08,46.92
0.561,0.061,52.68,47.32
0.561,0.071,52.28,47.72
0.561,0.081,51.50,48.50
0.561,0.091,51.06,48.94
0.561,0.101,50.47,49.53
0.571,0.001,56.99,43.01
0.571,0.011,56.40,43.60
0.571,0.021,55.85,44.15
0.571,0.031,55.20,44.80
0.571,0.041,54.50,45.50
0.571,0.051,54.11,45.89
0.571,0.061,53.58,46.42
0.571,0.071,53.18,46.82
0.571,0.081,52.17,47.84
0.571,0.091,51.92,48.08
0.571,0.101,51.55,48.45
0.571,0.111,50.69,49.31
0.581,0.001,58.41,41.59
0.581,0.011,57.33,42.67
0.581,0.021,56.80,43.20
0.581,0.031,56.41,43.59
0.581,0.041,55.73,44.27
0.581,0.051,55.44,44.56
0.581,0.061,54.48,45.52
0.581,0.071,53.59,46.41
0.581,0.081,53.26,46.74
0.581,0.091,52.78,47.22
0.581,0.101,52.49,47.51
0.581,0.111,51.56,48.44
0.581,0.121,51.19,48.81
0.581,0.131,50.17,49.83
0.581,0.141,50.05,49.95
0.591,0.001,59.20,40.80
0.591,0.011,58.41,41.59
0.591,0.021,57.87,42.13
0.591,0.031,57.41,42.59
0.591,0.041,56.40,43.60
0.591,0.051,55.93,44.07
0.591,0.061,55.75,44.25
0.591,0.071,54.76,45.24
0.591,0.081,53.82,46.18
0.591,0.091,53.68,46.32
0.591,0.101,53.09,46.91
0.591,0.111,52.50,47.50
0.591,0.121,51.81,48.19
0.591,0.131,51.36,48.64
0.591,0.141,50.87,49.13
0.601,0.001,59.78,40.22
0.601,0.011,59.57,40.43
0.601,0.021,59.04,40.96
0.601,0.031,58.20,41.80
0.601,0.041,57.21,42.79
0.601,0.051,57.08,42.92
0.601,0.061,56.58,43.42
0.601,0.071,55.59,44.41
0.601,0.081,54.95,45.05
0.601,0.091,54.78,45.22
0.601,0.101,54.01,45.99
0.601,0.111,53.35,46.65
0.601,0.121,52.65,47.35
0.601,0.131,52.45,47.55
0.601,0.141,51.60,48.40
0.601,0.151,50.98,49.02
0.601,0.161,50.48,49.52
0.611,0.001,61.14,38.86
0.611,0.011,60.70,39.30
0.611,0.021,59.57,40.43
0.611,0.031,59.18,40.82
0.611,0.041,58.70,41.30
0.611,0.051,57.68,42.32
