0.190,0.050
0.200,0.030
0.210,0.020
0.220,0.020
0.230,0.010
0.240,0.010
0.250,0.010
0.260,0.010
0.270,0.010
0.280,0.000
0.290,0.010
0.300,0.010
0.310,0.010
0.320,0.010
0.330,0.010
0.340,0.010
0.350,0.010
0.360,0.010
0.370,0.020
0.380,0.020
0.390,0.020
0.400,0.020
0.410,0.030
0.420,0.030
0.430,0.030
0.440,0.030
0.450,0.040
0.460,0.040
0.470,0.040
0.480,0.050
0.490,0.050
0.500,0.050
0.510,0.060
0.520,0.060
0.530,0.060
0.540,0.070
0.550,0.070
0.560,0.070
0.570,0.080
0.580,0.080
0.590,0.080
0.600,0.090
0.610,0.090
0.620,0.100
0.630,0.100
0.640,0.100
0.650,0.110
0.660,0.110
0.670,0.120
0.680,0.120
0.690,0.130
0.700,0.130
0.710,0.140
0.720,0.140
0.730,0.140
0.740,0.150
0.750,0.150
0.760,0.160
0.770,0.160
0.780,0.170
0.790,0.180
0.800,0.180
0.810,0.180
0.820,0.190
0.830,0.200
0.840,0.200
0.850,0.210
0.860,0.210
0.870,0.220
0.880,0.220
0.890,0.230
0.900,0.240
0.910,0.240
0.920,0.250
0.930,0.250
0.940,0.260
0.950,0.270
0.960,0.270
0.970,0.280
0.980,0.280
0.990,0.290
