[356, 0.695],
[357, 0.693],
[358, 0.691],
[359, 0.692],
[360, 0.695],
[361, 0.692],
[362, 0.691],
[363, 0.693],
[364, 0.692],
[365, 0.695],
[366, 0.692],
[367, 0.691],
[368, 0.693],
[369, 0.693],
[370, 0.690],
[371, 0.692],
[372, 0.694],
[373, 0.694],
[374, 0.694],
[375, 0.693],
[376, 0.694],
[377, 0.692],
[378, 0.690],
[379, 0.692],
[380, 0.693],
[381, 0.693],
[382, 0.693],
[383, 0.692],
[384, 0.694],
[385, 0.692],
[386, 0.693],
[387, 0.693],
[388, 0.693],
[389, 0.694],
[390, 0.695],
[391, 0.694],
[392, 0.691],
[393, 0.696],
[394, 0.689],
[395, 0.694],
[396, 0.692],
[397, 0.694],
[398, 0.693],
[399, 0.693],
[400, 0.695],
[401, 0.693],
[402, 0.691],
[403, 0.692],
[404, 0.691],
[405, 0.692],
[406, 0.691],
[407, 0.693],
[408, 0.690],
[409, 0.693],
[410, 0.689],
[411, 0.693],
[412, 0.692],
[413, 0.695],
[414, 0.693],
[415, 0.692],
[416, 0.693],
[417, 0.692],
[418, 0.691],
[419, 0.690],
[420, 0.695],
[421, 0.696],
[422, 0.692],
[423, 0.692],
[424, 0.693],
[425, 0.691],
[426, 0.692],
[427, 0.696],
[428, 0.692],
[429, 0.690],
[430, 0.695],
[431, 0.692],
[432, 0.694],
[433, 0.690],
[434, 0.691],
[435, 0.689],
[436, 0.692],
[437, 0.691],
[438, 0.690],
[439, 0.693],
[440, 0.691],
[441, 0.692],
[442, 0.692],
[443, 0.692],
[444, 0.693],
[445, 0.692],
[446, 0.694],
[447, 0.694],
[448, 0.693],
[449, 0.693],
[450, 0.691],
[451, 0.693],
[452, 0.692],
[453, 0.692],
[454, 0.690],
[455, 0.692],
[456, 0.693],
[457, 0.695],
[458, 0.693],
[459, 0.691],
[460, 0.693],
[461, 0.692],
[462, 0.691],
[463, 0.690],
[464, 0.694],
[465, 0.691],
[466, 0.693],
[467, 0.692],
[468, 0.691],
[469, 0.695],
[470, 0.692],
[471, 0.692],
[472, 0.693],
[473, 0.691],
[474, 0.691],
[475, 0.691],
[476, 0.694],
[477, 0.695],
[478, 0.694],
[479, 0.692],
[480, 0.694],
[481, 0.691],
[482, 0.694],
[483, 0.694],
[484, 0.697],
[485, 0.693],
[486, 0.695],
[487, 0.690],
[488, 0.692],
[489, 0.692],
[490, 0.691],
[491, 0.694],
[492, 0.690],
[493, 0.690],
[494, 0.691],
[495, 0.691],
[496, 0.691],
[497, 0.689],
[498, 0.694],
[499, 0.693],
[500, 0.692],
[501, 0.693],
[502, 0.691],
[503, 0.692],
[504, 0.691],
[505, 0.693],
[506, 0.692],
[507, 0.693],
[508, 0.692],
[509, 0.693],
[510, 0.691],
[511, 0.695],
[512, 0.692],
[513, 0.692],
[514, 0.690],
[515, 0.693],
[516, 0.693],
[517, 0.692],
[518, 0.692],
[519, 0.694],
[520, 0.691],
[521, 0.692],
[522, 0.690],
[523, 0.693],
[524, 0.691],
[525, 0.694],
[526, 0.694],
[527, 0.692],
[528, 0.694],
[529, 0.691],
[530, 0.694],
[531, 0.692],
[532, 0.693],
[533, 0.692],
[534, 0.691],
[535, 0.692],
[536, 0.692],
[537, 0.692],
[538, 0.689],
[539, 0.691],
[540, 0.693],
[541, 0.693],
[542, 0.694],
[543, 0.693],
[544, 0.692],
[545, 0.692],
[546, 0.693],
[547, 0.693],
[548, 0.693],
[549, 0.694],
[550, 0.694],
[551, 0.691],
[552, 0.692],
[553, 0.694],
[554, 0.694],
[555, 0.691],
[556, 0.695],
[557, 0.692],
[558, 0.693],
[559, 0.692],
[560, 0.691],
[561, 0.692],
[562, 0.693],
[563, 0.690],
[564, 0.691],
[565, 0.692],
[566, 0.690],
[567, 0.691],
[568, 0.692],
[569, 0.691],
[570, 0.693],
[571, 0.692],
[572, 0.693],
[573, 0.691],
[574, 0.690],
[575, 0.694],
[576, 0.693],
[577, 0.692],
[578, 0.695],
[579, 0.691],
[580, 0.690],
[581, 0.692],
[582, 0.691],
[583, 0.692],
[584, 0.693],
[585, 0.694],
[586, 0.692],
[587, 0.692],
[588, 0.691],
[589, 0.692],
[590, 0.689],
[591, 0.693],
[592, 0.691],
[593, 0.692],
[594, 0.691],
[595, 0.694],
[596, 0.692],
[597, 0.689],
[598, 0.693],
[599, 0.692],
[600, 0.692],
[601, 0.691],
[602, 0.692],
[603, 0.693],
[604, 0.695],
[605, 0.693],
[606, 0.691],
[607, 0.692],
[608, 0.694],
[609, 0.693],
[610, 0.691],
[611, 0.692],
[612, 0.690],
[613, 0.693],
[614, 0.693],
[615, 0.689],
[616, 0.696],
[617, 0.693],
[618, 0.692],
[619, 0.691],
[620, 0.690],
[621, 0.695],
[622, 0.692],
[623, 0.693],
[624, 0.690],
[625, 0.693],
[626, 0.693],
[627, 0.695],
[628, 0.694],
[629, 0.694],
[630, 0.691],
[631, 0.693],
[632, 0.691],
[633, 0.692],
[634, 0.693],
[635, 0.693],
